Date,Day,Event Name,url,Types,Location,Notes
2014-08-02 07:30:00,Saturday ,60th Annual Balboa Park 8 Mile and 3 Mile Cross Country Races.,www.sdtc.com,"['8 Mile', '3 Mile']","Balboa Park, San Diego, CA",Scenic & Challenging courses through and around Balboa Park with a variety of terrain. Additional info and registration at:www.sdtc.com
2014-08-03 00:00:00,Sunday ,2014 San Diego Blood Bank 5K Walk/Run  (Every 3 seconds someone needs blood. Help us save lives!),sandiegobloodbank.org,['5K'],Start/Finish: Embarcadero Marina Park North at Seaport Village.,"5K Walk/Run along scenic Embarcadero Marina Park North.  Free food/drink, entertainment and prizes.  Proceeds benefit the lifesaving programs and services of the San Diego Blood Bank.  
sandiegobloodbank.org"
2014-08-14 18:30:00,Thursday ,Adventure Run San Diego,www.adventurerun.com,[],"Road Runner Sports San Diego, 5549 Copley Dr., San Diego, CA 92111","JOIN THE PARTY! You are in for one mind-blowing evening of FREE, prize-tastic fitness FUN when you join runners LIKE YOU for the nation's largest FREE group fun run at your Road Runner Sports retail store! Enjoy 60 minutes of FUN as you run (or walk) at ywww.adventurerun.com"
2014-08-17 00:00:00,Sunday ,37th America's Finest City Half Marathon and 5K Run/Walk and 2-day Health & Fitness Expo,www.afchalf.com,"['Half Marathon', '5K']",The Half Marathon begins at historic Cabrillo National Monument and ends in beautiful Balboa Park.,Beautiful course of both San Diego Bay & the Pacific Ocean. USAT&F Sanct/Cert Course. 2-day  Fitness Expo at Sheraton SD Hotel & Marina Harbor Island. Great post race party. NO Half Marathon Reg at Expo or Day of Race.www.afchalf.com
2014-08-23 00:00:00,Saturday ,The San Diego Beer Run 5K &10K,sandyfeetevents.com/the-san-diego-beer-run-5k-10k/,"['5K', '10K']",Embarcadero Marina Park North,"Burn some calories before partaking in some of San Diegos finest beer at The San Diego Beer Run benefiting Access Youth Academy. Following the run, join the Beer Olympics where teams compete in fun challenges.sandyfeetevents.com/the-san-diego-beer-run-5k-10k/"
2014-08-24 00:00:00,Sunday ,2014 End of Summer Fire Run 4 Mile Run/Walk,www.kathyloperevents.com/firerun4m,['4 Mile'],"Prospect & Girard Street, La Jolla to Mission Blvd & Felspar, Pacific Beach","Live Music, Beer Garden, Fantastic Food, & Fast 4 Mile course to benefit the San Diego Fire Rescue Foundation. USAT&F cert/sanctioned event.www.kathyloperevents.com/firerun4m"
2014-08-28 18:30:00,Thursday ,Adventure Run Carlsbad,www.adventurerun.com,[],"Road Runner Sports Carlsbad, 5617 Paseo Del Norte #100, Carlsbad, CA 92008","JOIN THE PARTY! You are in for one mind-blowing evening of FREE, prize-tastic fitness FUN when you join runners LIKE YOU for the nation's largest FREE group fun run at your Road Runner Sports retail store! Enjoy 60 minutes of FUN as you run (or walk) at y www.adventurerun.com"
2014-08-31 07:45:00,Sunday ,All American Hero 5K Run/Walk & Kids Dash,patriotsrun.com,['5K'],"Start/Finish: North of the Dewey Road and Cushing Road Intersection, Point Loma, CA2901 Rosecrans San Diego, CA",Race along scenic course in SD at NTC-Point Loma. Awards for best All American Hero attire & Finishers Medal for each registered participant.patriotsrun.com
2014-09-06 09:30:00,Saturday ,Grape Day 5K,sandyfeetevents.com/grape-day-5k/,['5K'],"150 North Centre City Parkway Escondido, CA 92025","Grape Day 5K is a 5K fun run for everyone from elite runners to casual walkers, so bring the whole family out for a good time! Stick around for the Grape Day Parade and Festival where each participant will receive an included drink ticket for the wine andsandyfeetevents.com/grape-day-5k/"
2014-09-06 00:00:00,Saturday ,The Super Tasty 5K,Website,['5K'],"Fletcher Cove Beach Park
150 South Sierra Ave (next to Fletcher Cove)
Solana Beach, California",The Worlds Toughest Gourmet Walk - More than 20 Restaurants in Solana Beach will be serving you incredible food as you walk around Solana Beach. This is a fantastic event for you to invite your family and friends for an Eating Adventure!Website
2014-09-07 07:30:00,Sunday ,Aloha Run - 5K Run/Walk - San Diego,www.thealoharun.com,['5K'],"Tecolote Shores Park Mission Bay, San Diego, CA","Polynesian Music, Hula Dancers, Surf Music! Finisher Medals for all participants. Come join us for this festive 5K Run/Walk. Register today. Last year's race sold out!www.thealoharun.com"
2014-09-11 00:00:00,Thursday ,Adventure Run San Diego,www.adventurerun.com,[],"Road Runner Sports San Diego  5553 Copley Dr, San Diego, CA 92111","JOIN THE PARTY! You're invited to a crazy evening of FREE, prize-tastic fitness FUN. You'll have 60 minutes to reach local business checkpoints collecting raffle tickets for free prizes!www.adventurerun.com"
2014-09-13 00:00:00,Saturday ,"SoCal Spartan Beast - Saturday, September 13th 2014",http://www.spartanrace.com,[],"Vail Lake Resort 38000 Highway 79 South 
Temecula , CA 92592",http://www.spartanrace.com
2014-09-21 00:00:00,Sunday ,Paws FUR Pink Run/Walk,,[],"Liberty Station - NTC, San Diego","Run, Walk or Wag your way to better health while raising funds for breast cancer. Partial event proceeds benefit San Diego Affiliate of Susan G. Komen for the Cure."
2014-09-25 17:30:00,Thursday ,Adventure Run Carlsbad,www.adventurerun.com,[],"Road Runner Sports Carlsbad  5617 Paseo Del Norte #100, Carlsbad, CA 92008","JOIN THE PARTY! You're invited to a crazy evening of FREE, prize-tastic fitness FUN. You'll have 60 minutes to reach local business checkpoints collecting raffle tickets for free prizes!www.adventurerun.com"
2014-09-27 00:00:00,Saturday ,2014 MCRD San Diego BootCamp Challenge 3 Mile Obstacle Run,www.bootcampchallenge.com,['3 Mile'],"MCRD San Diego, 3800 Chosin Avenue San Diego, CA 92140-5196","A fun & furious 3-mile course. Compete as an individual or on a 3-person or 5-person team. Great post-race party with music, food, drinks & beer, awards to top 3 finishers each category/age group, official race T-Shirts to all entrants.www.bootcampchallenge.com"
